행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
전라남도 신안군 (4691000000),"38,022","1,412","1,953","2,525","2,449","4,059","6,846","7,933","6,196","4,127",512,10
경상북도  (4700000000),"2,616,627","178,462","221,778","275,372","278,122","374,889","451,905","431,231","243,563","140,655","20,127",523
경상북도 포항시 (4711000000),"501,906","37,293","46,156","56,478","57,313","76,262","88,652","82,610","38,434","16,359","2,292",57
경상북도 포항시 남구 (4711100000),"229,875","16,365","20,924","26,546","25,699","35,316","40,683","38,242","17,934","7,177",962,27
경상북도 포항시 북구 (4711300000),"272,031","20,928","25,232","29,932","31,614","40,946","47,969","44,368","20,500","9,182","1,330",30
경상북도 경주시 (4713000000),"250,855","15,371","20,173","25,633","24,393","35,508","46,325","43,108","24,952","13,496","1,850",46
경상북도 김천시 (4715000000),"139,808","9,977","12,206","14,128","14,433","19,133","23,428","23,313","13,465","8,438","1,257",30
경상북도 안동시 (4717000000),"156,518","9,969","13,337","16,246","14,932","21,527","25,613","26,731","16,628","9,996","1,500",39
경상북도 구미시 (4719000000),"411,182","38,685","44,145","54,329","62,656","72,356","69,735","43,167","16,451","8,395","1,234",29
경상북도 영주시 (4721000000),"101,616","5,741","8,601","9,455","8,095","13,342","17,234","19,138","11,768","7,101","1,093",48
경상북도 영천시 (4723000000),"101,585","5,524","6,538","9,634","9,128","12,189","18,003","19,647","12,727","7,287",888,20
경상북도 상주시 (4725000000),"95,285","4,900","7,289","7,628","6,986","10,888","16,111","19,090","12,368","8,613","1,376",36
경상북도 문경시 (4728000000),"70,657","3,825","5,422","6,124","5,373","8,465","11,705","13,968","9,126","5,764",854,31
경상북도 경산시 (4729000000),"267,148","19,723","22,829","36,165","32,802","41,379","45,542","37,351","20,226","9,860","1,248",23
경상북도 군위군 (4772000000),"22,869",604,914,"1,375","1,203","1,988","4,137","5,592","3,989","2,705",351,11
경상북도 의성군 (4773000000),"50,416","1,800","2,181","2,824","2,937","4,427","8,110","12,129","8,836","6,290",867,15
경상북도 청송군 (4775000000),"24,487",916,"1,148","1,568","1,546","2,231","4,457","5,728","3,963","2,581",338,11
경상북도 영양군 (4776000000),"16,286",675,892,"1,063",990,"1,593","2,842","3,602","2,582","1,768",266,13
경상북도 영덕군 (4777000000),"35,110","1,458","2,030","2,221","2,127","3,557","5,954","7,513","5,759","3,918",557,16
경상북도 청도군 (4782000000),"41,715","1,412","2,229","2,576","2,550","4,253","7,049","9,927","6,655","4,408",647,9
경상북도 고령군 (4783000000),"30,528","1,316","1,906","2,300","2,042","3,527","5,695","6,569","4,112","2,713",344,4
경상북도 성주군 (4784000000),"42,698","1,819","2,182","3,193","3,130","4,487","8,040","9,815","5,926","3,579",516,11
경상북도 칠곡군 (4785000000),"113,258","8,679","11,337","11,547","13,659","20,430","19,873","14,792","7,647","4,617",663,14
경상북도 예천군 (4790000000),"55,618","4,450","4,455","4,019","5,253","7,197","7,870","9,783","6,741","5,110",716,24
경상북도 봉화군 (4792000000),"30,572","1,225","1,799","1,816","1,735","2,990","5,475","7,072","4,643","3,291",505,21
경상북도 울진군 (4793000000),"47,735","2,723","3,556","4,243","4,066","5,960","8,291","8,787","5,527","3,878",691,13
경상북도 울릉군 (4794000000),"8,775",377,453,807,773,"1,200","1,764","1,799","1,038",488,74,2
경상남도  (4800000000),"3,301,135","250,598","319,233","361,952","378,237","524,252","576,300","491,688","248,899","131,053","18,541",382
경상남도 창원시 (4812000000),"1,027,914","78,934","98,094","125,127","129,317","165,159","183,529","150,444","65,598","27,946","3,703",63
경상남도 창원시 의창구 (4812100000),"217,109","17,094","19,322","27,808","28,133","33,654","40,912","31,887","12,231","5,312",738,18
경상남도 창원시 성산구 (4812300000),"250,763","18,288","25,677","36,694","34,276","40,204","50,833","31,512","9,001","3,687",583,8
경상남도 창원시 마산합포구 (4812500000),"180,021","13,188","14,264","18,806","21,196","26,548","29,126","31,398","16,932","7,497","1,050",16
경상남도 창원시 마산회원구 (4812700000),"185,800","12,170","17,579","21,030","20,118","29,077","33,371","30,770","15,251","5,806",617,11
경상남도 창원시 진해구 (4812900000),"194,221","18,194","21,252","20,789","25,594","35,676","29,287","24,877","12,183","5,644",715,10
경상남도 진주시 (4817000000),"346,154","26,786","34,666","44,468","40,619","53,045","57,042","48,659","25,784","13,186","1,848",51
경상남도 통영시 (4822000000),"124,822","8,545","12,660","10,455","12,252","20,676","21,848","21,348","11,300","5,059",667,12
경상남도 사천시 (4824000000),"109,475","7,633","10,109","10,270","11,089","17,269","18,205","17,203","10,737","6,051",888,21
경상남도 김해시 (4825000000),"535,877","45,847","60,050","66,465","65,990","95,628","98,220","62,920","27,052","12,177","1,500",28
경상남도 밀양시 (4827000000),"102,988","5,232","7,459","8,595","8,325","12,498","18,063","21,880","12,808","7,184",925,19
경상남도 거제시 (4831000000),"240,314","24,132","27,931","22,736","32,660","46,980","39,819","28,672","11,334","5,200",829,21
경상남도 양산시 (4833000000),"353,654","32,838","34,606","39,264","47,186","61,255","59,319","46,444","21,977","9,539","1,199",27
경상남도 의령군 (4872000000),"26,259",986,"1,442","1,822","1,612","2,670","4,475","5,798","3,803","3,141",503,7
경상남도 함안군 (4873000000),"62,301","3,585","5,753","5,045","4,988","8,838","10,930","11,656","6,626","4,254",618,8
경상남도 창녕군 (4874000000),"59,850","2,865","4,011","4,431","4,625","6,757","10,565","12,763","7,941","5,172",704,16
경상남도 고성군 (4882000000),"50,310","2,276","4,057","3,679","3,394","5,995","8,902","10,159","6,741","4,390",703,14
경상남도 남해군 (4884000000),"42,126","1,512","2,828","3,027","2,294","4,305","7,088","8,573","6,586","4,968",932,13
경상남도 하동군 (4885000000),"43,262","1,632","2,671","3,030","2,503","4,509","7,985","9,336","6,274","4,519",790,13
경상남도 산청군 (4886000000),"34,191","1,174","1,999","2,253","1,916","3,264","6,263","7,768","5,142","3,798",600,14
경상남도 함양군 (4887000000),"38,120","1,693","2,784","2,875","2,403","4,056","6,701","7,685","5,338","3,953",620,12
경상남도 거창군 (4888000000),"60,870","3,494","5,811","5,661","4,732","7,408","10,236","10,807","6,905","5,006",787,23
경상남도 합천군 (4889000000),"42,648","1,434","2,302","2,749","2,332","3,940","7,110","9,573","6,953","5,510",725,20
제주특별자치도  (5000000000),"672,808","57,961","70,300","80,713","80,652","110,513","113,830","83,919","45,459","25,102","4,171",188
제주특별자치도 제주시 (5011000000),"490,059","43,743","52,745","62,091","61,216","81,258","81,849","57,767","30,105","16,307","2,863",115
제주특별자치도 서귀포시 (5013000000),"182,749","14,218","17,555","18,622","19,436","29,255","31,981","26,152","15,354","8,795","1,308",73
