행정구역1,행정구역2,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
광주광역시,서구,"290,141","20,168","29,825","44,474","34,844","46,710","49,216","35,662","19,411","8,594","1,199",38
광주광역시,남구,"214,887","17,060","22,732","27,474","25,135","34,114","32,797","29,009","17,556","7,856","1,129",25
광주광역시,북구,"425,570","31,985","41,332","61,014","54,350","65,371","70,916","55,788","29,985","12,953","1,821",55
광주광역시,광산구,"403,093","37,538","51,153","58,298","52,830","74,791","66,183","35,776","17,109","8,194","1,192",29
대전광역시,동구,"220,978","14,150","19,450","29,993","25,094","33,160","35,920","34,067","19,093","8,857","1,163",31
대전광역시,중구,"228,925","13,876","20,909","29,959","24,807","34,890","38,468","34,541","20,428","9,705","1,307",35
대전광역시,서구,"471,114","35,848","48,109","72,601","64,372","75,727","76,217","58,036","26,395","12,011","1,750",48
대전광역시,유성구,"350,077","33,116","37,777","52,222","54,610","59,668","54,418","36,499","13,814","6,796","1,133",24
대전광역시,대덕구,"174,151","10,517","15,773","24,040","19,818","25,955","33,059","26,205","12,316","5,703",741,24
울산광역시,중구,"212,096","15,265","19,449","25,151","25,011","32,902","39,996","33,370","14,833","5,456",654,9
울산광역시,남구,"312,380","22,532","29,130","43,284","40,663","49,228","60,241","43,543","17,069","5,970",709,11
울산광역시,동구,"153,530","13,708","15,643","16,682","21,243","26,004","24,635","23,761","8,859","2,634",353,8
울산광역시,북구,"218,334","24,029","23,774","26,187","32,738","38,898","38,791","22,318","7,892","3,219",471,17
울산광역시,울주군,"221,426","16,455","21,937","25,887","24,718","35,922","42,307","32,149","14,203","6,772","1,058",18
경기도,수원시,"1,177,170","90,996","115,186","183,772","176,298","197,741","195,746","130,201","56,497","26,642","3,965",126
경기도,수원시,"272,294","17,494","27,730","43,390","32,892","43,837","48,853","33,153","15,690","7,942","1,280",33
경기도,수원시,"362,387","29,784","32,483","52,732","56,183","60,061","61,160","43,245","17,548","7,994","1,152",45
경기도,수원시,"180,439","10,045","13,645","30,182","26,797","27,041","30,590","24,173","11,886","5,371",686,23
경기도,수원시,"362,050","33,673","41,328","57,468","60,426","66,802","55,143","29,630","11,373","5,335",847,25
경기도,성남시,"923,097","65,633","85,283","126,912","134,220","151,522","153,265","118,880","57,111","26,015","4,136",120
경기도,성남시,"234,010","14,901","16,757","33,518","34,749","35,847","39,472","34,500","16,777","6,605",852,32
경기도,성남시,"208,942","12,162","15,581","29,785","30,413","31,186","36,262","31,713","15,040","5,956",822,22
경기도,성남시,"480,145","38,570","52,945","63,609","69,058","84,489","77,531","52,667","25,294","13,454","2,462",66
경기도,의정부시,"459,873","32,975","41,511","63,990","59,665","72,875","80,051","60,835","31,071","14,940","1,909",51
